           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
      35.00000   -6.6748E-31   -1.8219E-37   -9.9405E-35
      35.10000   -6.6969E-31   -1.8250E-37   -9.9873E-35
      35.20000   -6.7187E-31   -1.8281E-37   -1.0033E-34
      35.30000   -6.7402E-31   -1.8314E-37   -1.0079E-34
      35.40000   -6.7613E-31   -1.8347E-37   -1.0124E-34
      35.50000   -6.7822E-31   -1.8381E-37   -1.0168E-34
      35.60000   -6.8027E-31   -1.8416E-37   -1.0211E-34
      35.70000   -6.8229E-31   -1.8452E-37   -1.0254E-34
      35.80000   -6.8425E-31   -1.8489E-37   -1.0297E-34
      35.90000   -6.8615E-31   -1.8527E-37   -1.0340E-34
      36.00000   -6.8799E-31   -1.8566E-37   -1.0382E-34
      36.10000   -6.8978E-31   -1.8607E-37   -1.0424E-34
      36.20000   -6.9151E-31   -1.8648E-37   -1.0466E-34
      36.30000   -6.9319E-31   -1.8691E-37   -1.0508E-34
      36.40000   -6.9482E-31   -1.8736E-37   -1.0550E-34
      36.50000   -6.9640E-31   -1.8781E-37   -1.0591E-34
      36.60000   -6.9793E-31   -1.8828E-37   -1.0633E-34
      36.70000   -6.9942E-31   -1.8877E-37   -1.0674E-34
      36.80000   -7.0086E-31   -1.8927E-37   -1.0715E-34
      36.90000   -7.0226E-31   -1.8979E-37   -1.0756E-34
      37.00000   -7.0362E-31   -1.9032E-37   -1.0797E-34
      37.10000   -7.0494E-31   -1.9087E-37   -1.0838E-34
      37.20000   -7.0622E-31   -1.9143E-37   -1.0878E-34
      37.30000   -7.0746E-31   -1.9201E-37   -1.0919E-34
      37.40000   -7.0867E-31   -1.9261E-37   -1.0959E-34
      37.50000   -7.0984E-31   -1.9323E-37   -1.1000E-34
      37.60000   -7.1098E-31   -1.9387E-37   -1.1040E-34
      37.70000   -7.1208E-31   -1.9452E-37   -1.1080E-34
      37.80000   -7.1315E-31   -1.9520E-37   -1.1120E-34
      37.90000   -7.1419E-31   -1.9589E-37   -1.1160E-34
      38.00000   -7.1520E-31   -1.9660E-37   -1.1200E-34
      38.10000   -7.1619E-31   -1.9734E-37   -1.1240E-34
      38.20000   -7.1716E-31   -1.9809E-37   -1.1280E-34
      38.30000   -7.1812E-31   -1.9886E-37   -1.1319E-34
      38.40000   -7.1906E-31   -1.9965E-37   -1.1357E-34
      38.50000   -7.1999E-31   -2.0046E-37   -1.1396E-34
      38.60000   -7.2088E-31   -2.0129E-37   -1.1435E-34
      38.70000   -7.2176E-31   -2.0215E-37   -1.1473E-34
      38.80000   -7.2261E-31   -2.0303E-37   -1.1512E-34
      38.90000   -7.2343E-31   -2.0393E-37   -1.1550E-34
      39.00000   -7.2424E-31   -2.0486E-37   -1.1589E-34
      39.10000   -7.2502E-31   -2.0581E-37   -1.1627E-34
      39.20000   -7.2578E-31   -2.0679E-37   -1.1666E-34
      39.30000   -7.2652E-31   -2.0780E-37   -1.1704E-34
      39.40000   -7.2725E-31   -2.0883E-37   -1.1742E-34
      39.50000   -7.2795E-31   -2.0990E-37   -1.1781E-34
      39.60000   -7.2864E-31   -2.1098E-37   -1.1820E-34
      39.70000   -7.2931E-31   -2.1210E-37   -1.1858E-34
      39.80000   -7.2996E-31   -2.1325E-37   -1.1897E-34
      39.90000   -7.3059E-31   -2.1443E-37   -1.1935E-34
      40.00000   -7.3121E-31   -2.1563E-37   -1.1974E-34
      40.10000   -7.3182E-31   -2.1687E-37   -1.2012E-34
      40.20000   -7.3241E-31   -2.1815E-37   -1.2051E-34
      40.30000   -7.3298E-31   -2.1945E-37   -1.2090E-34
      40.40000   -7.3355E-31   -2.2079E-37   -1.2129E-34
      40.50000   -7.3410E-31   -2.2216E-37   -1.2167E-34
      40.60000   -7.3463E-31   -2.2356E-37   -1.2206E-34
      40.70000   -7.3516E-31   -2.2500E-37   -1.2245E-34
      40.80000   -7.3567E-31   -2.2648E-37   -1.2284E-34
      40.90000   -7.3618E-31   -2.2799E-37   -1.2323E-34
      41.00000   -7.3668E-31   -2.2952E-37   -1.2361E-34
      41.10000   -7.3718E-31   -2.3109E-37   -1.2399E-34
      41.20000   -7.3767E-31   -2.3269E-37   -1.2437E-34
