           # s        inv_Ta        inv_Tb            Ha            Hb
         # (m)         (1/s)         (1/s)           (m)           (m)
      29.80000    5.8663E-02    0.0000E+00    6.2590E+00    0.0000E+00
      29.90000    5.8885E-02    0.0000E+00    6.1990E+00    0.0000E+00
      30.00000    5.9125E-02    0.0000E+00    6.1380E+00    0.0000E+00
      30.10000    5.9380E-02    0.0000E+00    6.0759E+00    0.0000E+00
      30.20000    5.9650E-02    0.0000E+00    6.0128E+00    0.0000E+00
      30.30000    5.9935E-02    0.0000E+00    5.9486E+00    0.0000E+00
      30.40000    6.0232E-02    0.0000E+00    5.8835E+00    0.0000E+00
      30.50000    6.0540E-02    0.0000E+00    5.8174E+00    0.0000E+00
      30.60000    6.0858E-02    0.0000E+00    5.7503E+00    0.0000E+00
      30.70000    6.1185E-02    0.0000E+00    5.6823E+00    0.0000E+00
      30.80000    6.1518E-02    0.0000E+00    5.6134E+00    0.0000E+00
      30.90000    6.1857E-02    0.0000E+00    5.5436E+00    0.0000E+00
      31.00000    6.2198E-02    0.0000E+00    5.4730E+00    0.0000E+00
      31.10000    6.2540E-02    0.0000E+00    5.4016E+00    0.0000E+00
      31.20000    6.3319E-02    0.0000E+00    5.3665E+00    0.0000E+00
      31.30000    6.4542E-02    0.0000E+00    5.3665E+00    0.0000E+00
      31.40000    6.5801E-02    0.0000E+00    5.3665E+00    0.0000E+00
      31.50000    6.6606E-02    0.0000E+00    5.3274E+00    0.0000E+00
      31.60000    6.6947E-02    0.0000E+00    5.2506E+00    0.0000E+00
      31.70000    6.7273E-02    0.0000E+00    5.1732E+00    0.0000E+00
      31.80000    6.7581E-02    0.0000E+00    5.0951E+00    0.0000E+00
      31.90000    6.7867E-02    0.0000E+00    5.0164E+00    0.0000E+00
      32.00000    6.8127E-02    0.0000E+00    4.9371E+00    0.0000E+00
      32.10000    6.8358E-02    0.0000E+00    4.8572E+00    0.0000E+00
      32.20000    6.8555E-02    0.0000E+00    4.7768E+00    0.0000E+00
      32.30000    6.8714E-02    0.0000E+00    4.6959E+00    0.0000E+00
      32.40000    6.8831E-02    0.0000E+00    4.6145E+00    0.0000E+00
      32.50000    6.8901E-02    0.0000E+00    4.5327E+00    0.0000E+00
      32.60000    6.8919E-02    0.0000E+00    4.4505E+00    0.0000E+00
      32.70000    6.8881E-02    0.0000E+00    4.3680E+00    0.0000E+00
      32.80000    6.8781E-02    0.0000E+00    4.2851E+00    0.0000E+00
      32.90000    6.8616E-02    0.0000E+00    4.2019E+00    0.0000E+00
      33.00000    6.8380E-02    0.0000E+00    4.1185E+00    0.0000E+00
      33.10000    6.8070E-02    0.0000E+00    4.0348E+00    0.0000E+00
      33.20000    6.7680E-02    0.0000E+00    3.9510E+00    0.0000E+00
      33.30000    6.7208E-02    0.0000E+00    3.8670E+00    0.0000E+00
      33.40000    6.6648E-02    0.0000E+00    3.7829E+00    0.0000E+00
      33.50000    6.6000E-02    0.0000E+00    3.6987E+00    0.0000E+00
      33.60000    6.5259E-02    0.0000E+00    3.6145E+00    0.0000E+00
      33.70000    6.4423E-02    0.0000E+00    3.5303E+00    0.0000E+00
      33.80000    6.3492E-02    0.0000E+00    3.4462E+00    0.0000E+00
      33.90000    6.2834E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.00000    6.3284E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.10000    6.3652E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.20000    6.3935E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.30000    6.4126E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.40000    6.4223E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.50000    6.4222E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.60000    6.4037E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.70000    6.3313E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.80000    6.2028E-02    0.0000E+00    3.3820E+00    0.0000E+00
      34.90000    6.0227E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.00000    5.7974E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.10000    5.5509E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.20000    5.3117E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.30000    5.0805E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.40000    4.8577E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.50000    4.6434E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.60000    4.4379E-02    0.0000E+00    3.3820E+00    0.0000E+00
      35.70000    4.2154E-02    0.0000E+00    3.3615E+00    0.0000E+00
      35.80000    3.9258E-02    0.0000E+00    3.2759E+00    0.0000E+00
      35.90000    3.6560E-02    0.0000E+00    3.1921E+00    0.0000E+00
      36.00000    3.4047E-02    0.0000E+00    3.1100E+00    0.0000E+00
